Experiment,Citation,depth_from_sfc_cm,Sample_date,Time_years,mean_ambient_CO2,mean_increased_CO2,n_ambient_CO2,n_increased_CO2,Description_of_data_source,Value_treatment
ArizonaFACE - wheat - high N,Leavitt et al. 2001,15,01.11.1995,0,1344,1228,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,Leavitt et al. 2001,15,01.05.1996,0.5,1363,1305,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,Leavitt et al. 2001,15,01.12.1996,1,1254,1264,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,Leavitt et al. 2001,15,01.05.1997,1.5,1258,1400,4,4,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
Biosphere 2,Trueman and  Gonzalez-Meler 2005,25,01.07.1999,0,5950,6362,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,25,01.07.2000,1,5254,4735,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,25,01.07.2001,2,6084,4785,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,25,01.07.2002,3,5470,4064,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,Trueman and  Gonzalez-Meler 2005,25,01.07.2003,4,5335,4220,1,1,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
China FACE - low N,Zhong et al. 2009,15,01.03.2008,3.66,1937,2192,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - low N,Zhong et al. 2009,15,01.06.2008,4,1937,2123,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - high N,Zhong et al. 2009,15,01.03.2008,3.66,1926,2135,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - high N,Zhong et al. 2009,15,01.06.2008,4,1937,2105,3,3,table 1,bulk density: 1.16 g/cm3 f(text)
China OTC - low N,Liu et al. 2010,20,01.07.2005,0.33,1103,1168,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.11.2005,0.67,1036,1097,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.04.2006,1,1936,2385,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.08.2006,1.33,2319,2218,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.11.2006,1.66,2060,2051,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.04.2007,2,2431,2301,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.08.2007,2.33,2263,2361,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.11.2007,2.66,2116,2158,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.04.2007,3,3625,3315,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.08.2008,3.33,3253,3279,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - low N,Liu et al. 2010,20,01.11.2008,3.66,3287,3410,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.07.2005,0.33,1201,1198,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.11.2005,0.67,922,1409,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.04.2006,1,1930,2373,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.08.2006,1.33,1951,2514,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.11.2006,1.66,1587,3054,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.04.2007,2,2015,3030,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.08.2007,2.33,2273,2725,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.11.2007,2.66,2187,2702,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.04.2008,3,3602,3947,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.08.2008,3.33,3581,4170,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
China OTC - high N,Liu et al. 2010,20,01.11.2008,3.66,3645,4158,2,3,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
FACTS I,Lichter et al. 2008,15,01.08.1996,0,1977,2142,3,3,tab. 3,
FACTS I,Lichter et al. 2008,15,01.10.1999,3.17,1902,2208,3,3,tab. 3,
FACTS I,Lichter et al. 2008,15,01.08.2002,6,2407,2734,3,3,tab. 3,
FACTS I,Lichter et al. 2008,15,01.08.2006,9,2164,2096,3,3,tab. 3,
FACTS II - Aspen,Talhelm et al. 2009,10,01.01.2001,4,3575,3562,3,3,pers. comm.,
FACTS II - Aspen,Talhelm et al. 2009,10,01.01.2003,6,3625,4435,3,3,pers. comm.,
FACTS II - Aspen,Talhelm et al. 2009,10,01.01.2004,7,3235,3243,3,3,pers. comm.,
FACTS II - Aspen,Talhelm et al. 2009,10,01.01.2005,8,3741,3506,3,3,pers. comm.,
FACTS II - Aspen,Talhelm et al. 2009,10,01.01.2006,9,4243,3841,3,3,pers. comm.,
FACTS II - Aspen,Talhelm et al. 2009,10,01.01.2007,10,4374,3760,3,3,pers. comm.,
FACTS II - Aspen,Talhelm et al. 2009,10,01.01.2008,11,5119,3267,3,3,pers. comm.,
FACTS II - Aspen (+O3),Talhelm et al. 2009,10,01.01.2001,4,3193,3199,3,3,pers. comm.,
FACTS II - Aspen (+O3),Talhelm et al. 2009,10,01.01.2003,6,3081,3433,3,3,pers. comm.,
FACTS II - Aspen (+O3),Talhelm et al. 2009,10,01.01.2004,7,3418,2804,3,3,pers. comm.,
FACTS II - Aspen (+O3),Talhelm et al. 2009,10,01.01.2005,8,3886,2890,3,3,pers. comm.,
FACTS II - Aspen (+O3),Talhelm et al. 2009,10,01.01.2006,9,4073,3444,3,3,pers. comm.,
FACTS II - Aspen (+O3),Talhelm et al. 2009,10,01.01.2007,10,4382,3268,3,3,pers. comm.,
FACTS II - Aspen (+O3),Talhelm et al. 2009,10,01.01.2008,11,4783,3141,3,3,pers. comm.,
FACTS II - Aspen/Birch,Talhelm et al. 2009,10,01.01.2001,4,3256,3817,3,3,pers. comm.,
FACTS II - Aspen/Birch,Talhelm et al. 2009,10,01.01.2003,6,3347,3274,3,3,pers. comm.,
FACTS II - Aspen/Birch,Talhelm et al. 2009,10,01.01.2004,7,3408,3457,3,3,pers. comm.,
FACTS II - Aspen/Birch,Talhelm et al. 2009,10,01.01.2005,8,3653,3436,3,3,pers. comm.,
FACTS II - Aspen/Birch,Talhelm et al. 2009,10,01.01.2006,9,4433,4196,3,3,pers. comm.,
FACTS II - Aspen/Birch,Talhelm et al. 2009,10,01.01.2007,10,4125,3832,3,3,pers. comm.,
FACTS II - Aspen/Birch,Talhelm et al. 2009,10,01.01.2008,11,3484,3946,3,3,pers. comm.,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,10,01.01.2001,4,3305,3121,3,3,pers. comm.,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,10,01.01.2003,6,4105,3798,3,3,pers. comm.,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,10,01.01.2004,7,2943,3255,3,3,pers. comm.,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,10,01.01.2005,8,3578,3351,3,3,pers. comm.,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,10,01.01.2006,9,4083,4064,3,3,pers. comm.,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,10,01.01.2007,10,3909,4290,3,3,pers. comm.,
FACTS II - Aspen/Birch (+O3),Talhelm et al. 2009,10,01.01.2008,11,4113,3849,3,3,pers. comm.,
FACTS II - Aspen/Mapel,Talhelm et al. 2009,10,01.01.2001,4,2908,3541,3,3,pers. comm.,
FACTS II - Aspen/Mapel,Talhelm et al. 2009,10,01.01.2003,6,3327,3186,3,3,pers. comm.,
